,Original Name,Lookup 1,Lookup 1 Confidence,Lookup 1 Index,Lookup 2,Lookup 2 Confidence,Lookup 2 Index
0,sd worx,sd worx,1.0,3453,sd worx professionals,0.56,3455
1,colruyt,colruyt  fine food,0.64,849,retail partners colruyt,0.6,3282
2,deloitte,deloitte,1.0,1075,deloitte legal,0.74,1076
3,telenet,telenet business,0.6,3846,tellent,0.42000000000000004,3848
4,argenta,gens rental,0.33999999999999997,1680,merge,0.32999999999999996,2620
5,proximus,proximus nxt,0.77,3169,trox,0.36,4051
6,vanbreda risk  benefits,vanbreda services,0.43000000000000005,4200,beneficent solutions,0.27,477
7,first floor,first floor careers,0.8,1531,headfirst,0.39,1835
8,io,zorgbedrijf meetjesland,0.0,4559,zorgbedrijf antwerpen,0.0,4558
9,vlerick business school,unsw business school,0.62,4130,tias school for business and society,0.48,3961
10,hr talents,hr talents  executive talents,0.74,1954,italents,0.63,2152
11,arxus,clearxperts,0.31999999999999995,805,buro nexus,0.30000000000000004,658
12,arvesta,harvey nash,0.4,1821,nest,0.24,3914
13,cegeka,kogeka,0.64,2307,kaneka,0.30000000000000004,2231
14,codit,godit,0.5900000000000001,1738,hr code,0.39,1948
15,kpmg,zorgbedrijf meetjesland,0.0,4559,zorgbedrijf antwerpen,0.0,4558
16,aertssen,hoorcentrum aerts,0.36,1917,bekaert,0.33999999999999997,447
17,savaco,vivacom,0.43999999999999995,4290,travak,0.26,4029
18,trifinance,trifinance,1.0,4043,fod financin  spf finances,0.44999999999999996,1565
19,tomorrowland,tomorrowbe,0.7,3991,love tomorrow,0.65,2477
20,protime,uptime,0.43999999999999995,4142,protect,0.41000000000000003,3165
21,mediahuis,mediahuis technology  product studio,0.5,2591,ad media,0.33999999999999997,95
22,coolblue,blue lines,0.43000000000000005,553,bleublue,0.42000000000000004,545
23,bpost,bpostgroup,0.64,609,postnl,0.43000000000000005,3117
24,agilitas,agilitas,1.0,139,veritas,0.4,4245
25,recrewtment,management  recruitment,0.37,2529,pes recruitment,0.36,3043
26,securex,recurv,0.41000000000000003,3248,corex,0.4,906
27,umicore,unicorn,0.41000000000000003,4101,corex,0.4,906
28,cargill,gillain,0.41000000000000003,1706,carglass,0.32999999999999996,714
29,amista,inami,0.31000000000000005,2060,charistar,0.27,765
30,provincie antwerpen,unizo provincie antwerpen,0.81,4126,confederatie bouw provincie antwerpen,0.69,863
31,atlas copco,atlas copco,1.0,342,atlas grow how,0.42000000000000004,343
32,sibelga,belga news agency,0.32999999999999996,454,ibens,0.29000000000000004,2000
33,q8,zorgbedrijf meetjesland,0.0,4559,zorgbedrijf antwerpen,0.0,4558
34,brussels airlines,in brussels,0.53,2055,inesc brussels hub,0.52,2075
35,baloise be,chalo,0.28,3878,adsomenoise,0.25,114
36,acerta,sporta,0.31999999999999995,3627,talent acquisition  orientation  acerta consult,0.31000000000000005,3798
37,attentia,mattel,0.48,2559,wattex,0.42000000000000004,4370
38,brussels airport,crowne plaza brussels airport,0.69,953,in brussels,0.49,2055
39,unitt,itt,0.64,2155,unitd,0.52,4113
40,hansea,hansen industrial transmissions,0.36,1813,performanse,0.33999999999999997,3035
41,tabaknatie,luiknatie,0.43999999999999995,2491,zuidnatie,0.24,4565
42,febelco,febelfin,0.51,1474,febelgra,0.51,1475
43,bluu,blue lines,0.43000000000000005,553,bleublue,0.42000000000000004,545
44,insilencio,insight,0.28,2101,hinicio,0.25,1892
45,engie,engie,1.0,1338,enginity,0.5,1344
46,matexi,kantoor atexio,0.47,2234,wattex,0.33999999999999997,4370
47,sportoase,sporta,0.5700000000000001,3627,sportscom,0.43999999999999995,3630
48,euroports,sportscom,0.38,3630,europabank,0.35,1391
49,vandemoortele,moore,0.4,2706,democo,0.31999999999999995,1084
50,terumo,fumo,0.39,1616,terumo pharmaceutical solutions division,0.35,3855
51,smappee,peel,0.37,3021,papperas,0.33999999999999997,2993
52,qbd,zorgbedrijf meetjesland,0.0,4559,zorgbedrijf antwerpen,0.0,4558
53,puratos,actos,0.36,90,konato,0.25,2312
54,omp,rent company,0.35,3927,compusearch,0.32999999999999996,854
55,lansweeper,astra sweets,0.28,320,sweco,0.22999999999999998,3772
56,intigriti,gritt,0.44999999999999996,1766,intix,0.29000000000000004,2130
57,accenture,accenture,1.0,68,accenture song,0.77,69
58,galapagos,scapa,0.29000000000000004,3428,alan,0.27,158
59,ing,ing,1.0,2086,ewings,0.29000000000000004,1420
60,jessa ziekenhuis,gza ziekenhuizen,0.61,1793,zas  ziekenhuis aan de stroom,0.43999999999999995,4532
61,zeb,who owns the zebra,0.30000000000000004,4408,zorgbedrijf meetjesland,0.0,4559
62,alkenmaes,alkenmaes mechelen,0.76,173,afsprakenmaker,0.31000000000000005,130
63,bluecrux,blue lines,0.32999999999999996,553,bleublue,0.31999999999999995,545
64,biztory,restory,0.43999999999999995,3280,frontstory,0.31999999999999995,1610
65,azelis,azelis corporate services,0.47,384,obelis,0.41000000000000003,2892
66,manuchar,amanu,0.52,200,manus,0.5,2541
67,whats cooking,thomas cook,0.4,3943,okioki,0.30000000000000004,2912
68,ag solution,oce solutions,0.5800000000000001,2894,renta solutions,0.55,3269
69,cheops technology,cheops technology nv,0.88,773,nxi technology,0.55,2886
70,unilin,unilin panels,0.62,4107,quickstep unilin,0.49,3201
71,harbour,starboybe,0.37,3678,consense arbo,0.32999999999999996,878
72,collectief,actief,0.56,84,foodcollective,0.56,1572
73,ab inbev,anheuserbusch inbev,0.36,228,unifab india uniform,0.27,4103
74,cronos,cronos,1.0,1013,cronos leuven,0.62,944
75,sunweb,fun  sun,0.28,1618,immoweb,0.22999999999999998,2037
76,toreon,softwareone,0.43999999999999995,3579,coreorigins,0.37,901
77,keyrus,moneyrebels,0.28,2691,key consult,0.27,2276
78,springbok agency,21 agency,0.33999999999999997,9,other agency,0.32999999999999996,3919
79,agristo,agrium,0.53,147,bristol,0.47,635
80,basf,basf antwerp,0.52,413,basf antwerpen,0.49,414
81,axxes it consultancy,thoen it consultancy,0.5900000000000001,3941,excellent it consultancy,0.52,1425
82,bmw,bmw,1.0,557,bmw via rpc,0.35,560
83,vulpia,pia,0.54,3060,piazza,0.24,3061
84,vinotte,vandelanotte,0.49,4202,vind,0.31999999999999995,4273
85,storm,restory,0.51,3280,frontstory,0.37,1610
86,movu robotics,red robot dna,0.37,3249,robin,0.18999999999999995,3324
87,milcobel,obelis,0.36,2892,studio picobello,0.31999999999999995,3739
88,katoen natie,konato,0.31000000000000005,2312,human nature project,0.26,3899
89,flexso for people,flexso,0.5900000000000001,1546,wise people,0.4,4436
90,esko,agisko,0.4,141,topdesk,0.37,3999
91,dester,nest,0.35,3914,kvc westerlo,0.31000000000000005,2345
92,dematic,mativ,0.43000000000000005,2558,rademaker,0.41000000000000003,3214
93,dd engineering,bw engineering,0.69,686,linde engineering,0.69,2442
94,casa international,tta international,0.72,4059,cca international,0.7,728
95,am,zorgbedrijf meetjesland,0.0,4559,zorgbedrijf antwerpen,0.0,4558
96,air products,product architects,0.48,3924,imperial meat products,0.47,2048
97,9altitudes,9altitudes,1.0,36,studentbe,0.28,3730
98,lijn,stroomlijn,0.48,1036,consultijn,0.33999999999999997,1011
99,equans,equalminds,0.35,1357,iguana,0.32999999999999996,2017
100,ethias,methis consulting,0.30000000000000004,2631,filias,0.29000000000000004,1514
101,imec,imecistart,0.54,2030,imecxpand,0.49,2031
102,intelect,select,0.64,3470,intellecteu,0.6,2112
103,konings,ewings,0.32999999999999996,1420,konsult,0.31999999999999995,2317
104,lineas,leaseline,0.48,2388,enginears,0.42000000000000004,1341
105,tessenderlo,tch tessenderlo,0.8,3819,cressendo,0.43999999999999995,941
106,carrefour,starredcom,0.30000000000000004,3680,futureforward,0.30000000000000004,1628
107,chipsoft,mercy ships,0.29000000000000004,2619,microsoft,0.27,2635
108,cipal schaubroeck,ceipal,0.28,733,municipality of bornem,0.26,2746
109,finsiders,finsiders  part of lifeworx,0.5,1527,hubside,0.35,1970
110,manuport logistics,id logistics,0.61,2004,yusen logistics,0.54,4523
111,loop earplugs,overloop ai,0.30000000000000004,2971,all ears,0.27,176
112,axilium,melius,0.33999999999999997,2606,traxio,0.28,4035
113,hh global,dps  global,0.71,1183,globant,0.64,1720
114,antenno,tennant,0.5700000000000001,3852,santens,0.44999999999999996,3410
115,icredit,alphacredit,0.45999999999999996,186,creditpeopleeu,0.41000000000000003,937
116,plainsight,insight,0.78,2101,future insight comm v,0.4,1625
117,ufinity,enginity,0.6,1344,infinity jobs,0.54,2081
118,gudrun commercial,gudrun,0.64,1785,lightspeed commerce,0.28,2434
119,rsm,duraconstructkeersmaekers,0.28,1211,zorgbedrijf meetjesland,0.0,4559
120,vlinvesta,natuurinvest,0.45999999999999996,2776,hasco invest,0.44999999999999996,1822
121,cordeel,nordend,0.4,2855,ideeds,0.29000000000000004,2006
122,hyperion,studio hyperdrive,0.4,3737,entrio,0.27,1351
123,uza,zorgbedrijf meetjesland,0.0,4559,zorgbedrijf antwerpen,0.0,4558
124,yuki,visma  yuki,0.53,4283,studio ukiyo,0.25,3744
125,reynaers aluminium,reynaers,0.65,3290,aluminium duffel,0.43999999999999995,196
126,bdo,bdo,1.0,430,bdo digital  eeg   automation  dobit  jds  ceo summit,0.18000000000000005,431
127,melexis,enexis,0.56,1334,lexima,0.42000000000000004,2418
128,eubelius,melius,0.5900000000000001,2606,belfius,0.26,451
129,gumption,etion,0.44999999999999996,1380,all exeptional,0.42000000000000004,177
130,xplore,loral,0.29000000000000004,2473,xelor,0.28,4493
131,sofico,wico,0.32999999999999996,4412,bofis,0.28,572
132,brouwerij haacht,vrouwennet,0.26,4338,kracht jacht,0.19999999999999996,2325
133,vlaamse landmaatschappij,beheermaatschappij heide,0.45999999999999996,445,vlaamse post,0.39,4299
134,netwerk,netwerk ondernemen,0.56,2792,vov lerend netwerk,0.5,4328
135,sgs,sgs,1.0,3491,sgs ewacs,0.39,3492
136,nmbssncb,sncb,0.8200000000000001,3570,wissnerbosserhoff,0.19999999999999996,4438
137,bloovi,roov,0.47,3340,bloue,0.29000000000000004,550
138,epact,cepa,0.49,742,bepark,0.38,490
139,wyre,lyreco,0.55,2503,myreas,0.53,2763
140,vynova,nova,0.5800000000000001,2863,enovates,0.35,1345
141,viabuild,brebuild,0.43000000000000005,626,buildwise,0.4,653
142,silverfin,orfit,0.30000000000000004,2959,silvia pauli,0.30000000000000004,3514
143,robovision,finvision,0.47,1530,physiovisit,0.43999999999999995,3059
144,pv panels,unilin panels,0.6699999999999999,4107,panenka,0.4,2990
145,omega pharma a perrigo,eureka pharma,0.41000000000000003,1383,errin,0.29000000000000004,1369
146,parkwind,bepark,0.27,490,hypotheekwinkel,0.26,1991
147,ontex,montea,0.44999999999999996,2698,wattex,0.41000000000000003,4370
148,oleon,veon,0.38,4235,dileoz,0.31999999999999995,1135
149,nipro europe  companies,kaneka europe  company,0.5700000000000001,2232,lemon companies,0.41000000000000003,2401
150,neuhaus,hause media,0.43000000000000005,1825,uhasselt,0.29000000000000004,4085
151,made design  innovation,beacon  innovation community,0.42000000000000004,3866,zabala innovation,0.42000000000000004,4527
152,macadam,aca,0.38,61,bee academy,0.26,3867
153,klarrio,arriva,0.49,287,wolves  warriors,0.38,4452
154,indaver,nda,0.47,2780,davo,0.4,999
155,empwr nutrition,trouw nutrition,0.65,4050,high end nutrition,0.5900000000000001,1883
156,dynapps  experts in odoo,travel experts italy,0.36,4031,expo experts,0.35,1442
157,duomed,duomed,1.0,1208,promedia,0.31999999999999995,3162
158,deliverect,threon  strategy delivered,0.38,3955,beliving,0.33999999999999997,461
159,cookware,thomas cook,0.37,3943,delaware,0.27,1069
160,comfort energy,scholt energy,0.5700000000000001,3435,linergy,0.45999999999999996,2444
161,cartamundi,novemmundi,0.31000000000000005,2865,mundial tickets,0.27,2745
162,bridgestone emea,2 bridge,0.45999999999999996,8,everbridge,0.43000000000000005,1403
163,adb safegate,gates,0.36,1642,tsa safety,0.32999999999999996,4057
164,ahlers,ahlers logistics,0.63,148,talententelers,0.20999999999999996,3807
165,argenx,merge,0.39,2620,target engineering,0.37,3814
166,ca,zorgbedrijf meetjesland,0.0,4559,zorgbedrijf antwerpen,0.0,4558
167,hessers,messer,0.56,2623,essers  vanbriel,0.35,1377
168,isabel,elisabeth chocolaterie,0.41000000000000003,1297,enabel,0.39,1327
169,nextensa,next potentials,0.31999999999999995,2808,pxlnext,0.31000000000000005,3186
170,pwc,pwc,1.0,3185,human interface   part of the pwc network,0.21999999999999997,1979
171,realdolmen,inetumrealdolmen,0.74,2077,waldon,0.39,4356
172,stibbe,stibmivb,0.31999999999999995,3708,ribbels communicatie met een plan,0.25,3299
173,techwolf,wolf oil,0.45999999999999996,4448,golf,0.43000000000000005,3890
174,toyota motor,toyo ink,0.35,4010,mazda motor belux  mazda motor logistics,0.35,2572
175,vab,kvab  koninklijke vlaamse academie van belgi voor wetenschappen en kunsten,0.16000000000000003,2343,zorgbedrijf meetjesland,0.0,4559
176,armonea,harmony,0.5700000000000001,1818,hrmonize,0.35,1960
177,energyvision,linergy,0.44999999999999996,2444,finvision,0.43999999999999995,1530
178,etex,wattex,0.43999999999999995,4370,peeters,0.29000000000000004,3022
179,hyphen finance,fod financin  spf finances,0.45999999999999996,1565,creative finance,0.43000000000000005,930
180,la lorraine bakery,hrrail,0.28,1963,bakker,0.24,396
181,meatmore,meatless,0.30000000000000004,2583,eat more trees,0.29000000000000004,1233
182,niko,unikoo,0.77,4105,nike,0.47,2823
183,showpad,padi,0.49,2981,spadel,0.39,3614
184,fnac vanden borre,vanden borre kitchen,0.54,4203,vanden broele,0.32999999999999996,4204
185,pkf bofidi,bofidi,0.85,571,cofidis,0.55,837
186,square,y squared,0.75,4501,squaretrade,0.69,3643
187,impact,yourimpact,0.69,4518,impact jobs,0.63,2043
188,novartis,nova,0.5700000000000001,2863,fortis,0.41000000000000003,1580
189,ibanfirst,headfirst,0.41000000000000003,1835,peoplefirst,0.37,3030
190,digipolitans,solita,0.47,3586,digi,0.43999999999999995,1124
191,option media,motion medical,0.53,2711,ad media,0.45999999999999996,95
192,xylos,majulos,0.29000000000000004,2520,hyloris pharmaceuticals,0.21999999999999997,1989
193,companions,mycareercompanion,0.62,2757,lemon companies,0.49,2401
194,classo technology,nxi technology,0.55,2886,dxc technology,0.54,1220
195,remant transport architects,sprint transport,0.52,3638,product architects,0.5,3924
196,datashift,shiftz,0.56,3499,trueshift,0.43999999999999995,4053
197,jobat,jobat  ads  data,0.47,2189,bebat,0.33999999999999997,435
198,on it,kern it,0.56,2272,thoen it consultancy,0.35,3941
199,enersee,besee,0.33999999999999997,496,diversey,0.31999999999999995,1148
200,yaass,interwaas,0.35,2128,waaslandia,0.31000000000000005,4353
201,anthony cranes,dethon,0.30000000000000004,1098,sony,0.29000000000000004,3602
202,dc dredging,ddream,0.18999999999999995,1004,ing,0.18000000000000005,2086
203,kunnig,zonnige kempen,0.38,4555,bonnie,0.31999999999999995,585
204,ikea,nike,0.43999999999999995,2823,fike,0.38,1513
205,vivaldis interim,vivaldis,0.75,4291,aldi,0.44999999999999996,165
206,covestro,westrom,0.43999999999999995,4405,astron,0.38,324
207,sbb accountants  advisors,itaa  institute for tax advisors and accountants,0.52,2151,vmw accountants,0.5,4303
208,lunch garden,frigilunch,0.41000000000000003,1606,crunchr,0.32999999999999996,955
209,updatepro,doorstep,0.24,1173,gearstep,0.22999999999999998,1650
210,sereni,cerence,0.39,743,dieteren,0.33999999999999997,1122
211,cummins,vitamins,0.22999999999999998,4287,summer bash,0.20999999999999996,3755
212,buildr,brebuild,0.6799999999999999,626,buildwise,0.63,653
213,inovet,velvet,0.32999999999999996,4231,nova,0.32999999999999996,2863
214,duval union,duval union innovative marketing,0.63,1217,tuvalu media,0.24,4067
215,carerix,ferrero,0.30000000000000004,1500,aarixa,0.29000000000000004,44
216,board of innovation,zabala innovation,0.43999999999999995,4527,nido innovation lab,0.41000000000000003,2817
217,facilicom,vinci facilities,0.43999999999999995,4271,vinci facilities,0.43999999999999995,4272
218,natuurpunt,punt,0.49,3177,natuurinvest,0.42000000000000004,2776
219,korian,korian,1.0,2321,neoria,0.4,2786
220,soudal,studaro,0.31999999999999995,3729,brandally,0.24,618
221,oxygen,moxy,0.61,2724,moxypost,0.38,2725
222,mext,allimex green power,0.26,182,pxlnext,0.26,3186
223,db schenker,henkel,0.47,1860,groeidenker,0.30000000000000004,1016
224,fiduciaire ten hove,gemeente hove,0.25,1669,portuaire ni,0.18999999999999995,3114
225,talentbay,talentbrussels,0.43999999999999995,3805,italents,0.42000000000000004,2152
226,wolf security,cronos security,0.52,946,security cams,0.51,3464
227,ovb willemot,willemen,0.52,4421,willemen construct,0.32999999999999996,4422
228,willemen infra,willemen,0.6799999999999999,4421,willemen construct,0.48,4422
229,wibra,calibrate,0.5700000000000001,693,colibry,0.39,844
230,human8,uman,0.77,4092,uman,0.77,4093
231,volvo car gent,volvo cars,0.75,4321,volvo trucks,0.42000000000000004,4322
232,vgp,zorgbedrijf meetjesland,0.0,4559,zorgbedrijf antwerpen,0.0,4558
233,verwater tank  industrial services,vervaeke industrial,0.4,4253,cnh industrial,0.39,823
234,van havermaet,ackermans  van haaren,0.37,78,van hamme architecten,0.21999999999999997,4181
235,van de velde,van de velde packaging,0.71,4175,belden,0.39,450
236,vandersanden,sander,0.74,3402,vanden broele,0.38,4204
237,twipe,wipro,0.43000000000000005,4434,shipex,0.31999999999999995,3501
238,trendminer,mindmoving,0.31999999999999995,2648,trendcult,0.30000000000000004,4036
239,tomra food,manna foods,0.45999999999999996,2535,eit food,0.4,1281
240,tomco,cmcom,0.51,821,mconsulting services,0.30000000000000004,2579
241,tmc,zorgbedrijf meetjesland,0.0,4559,zorgbedrijf antwerpen,0.0,4558
242,tes,artes,0.61,294,gates,0.5700000000000001,1642
243,teamblue,powerteambe,0.4,3121,yambla,0.39,4502
244,tata consultancy services,tata consultancy services,1.0,3816,vice consultancy,0.5800000000000001,4263
245,tcr,zorgbedrijf meetjesland,0.0,4559,zorgbedrijf antwerpen,0.0,4558
246,swissport cargo services,multio services,0.42000000000000004,2743,ac services,0.39,60
247,stream software,softwareone,0.55,3579,sheq software,0.52,3498
248,stellantis etransmissions,hansen industrial transmissions,0.47,1813,lantis,0.37,2362
249,stefanini emea,nitto emea,0.28,2832,donaldson emea,0.24,1171
250,spacewell  a nemetschek,pace pack,0.20999999999999996,2979,bwell  personal training  afslanking,0.18000000000000005,688
251,soprema,sopra steria,0.38,3604,remarkable,0.31000000000000005,3264
252,solvint,solvint supply management,0.49,3592,solvus,0.35,3593
253,smt,smt,1.0,3567,zorgbedrijf meetjesland,0.0,4559
254,signify,signicat,0.56,3511,agnitio,0.29000000000000004,142
255,seris,seris,1.0,3485,experis,0.49,1438
256,seainvest,natuurinvest,0.43000000000000005,2776,hasco invest,0.42000000000000004,1822
257,hasinto,minto,0.44999999999999996,2660,easi,0.4,1226
258,scaldis smc,aldi,0.48,165,vivaldis,0.4,4291
259,sbe,belsberg,0.43999999999999995,467,ertsberg,0.43999999999999995,1370
260,samsonite,sonical,0.35,3599,wenite,0.35,4393
261,renner energies,eqos energie,0.48,1356,synergie,0.48,3781
262,burger brands,top brands,0.42000000000000004,3996,deckers brands,0.36,1057
263,pvh brands,top brands,0.47,3996,deckers brands,0.4,1057
264,pro duo,duomed,0.29000000000000004,1208,echo delta,0.20999999999999996,1241
265,pomuni,pom,0.5700000000000001,3104,hyoomunh,0.39,1990
266,peripass,passage,0.33999999999999997,3000,dripl,0.28,1192
267,otis,tis,0.6699999999999999,3975,gentis,0.39,1681
268,okay,vokan,0.5800000000000001,4316,okademy,0.43000000000000005,2911
269,ohgreen,greenyard,0.56,1762,greenpeace,0.54,1760
270,novasol chemicals,dl chemicals,0.74,1156,nova,0.38,2863
271,nexuzhealth,cv health,0.43000000000000005,970,healthy mind,0.37,1843
272,nemho,sanemwa,0.4,3406,gemeente bornem,0.32999999999999996,1661
273,medpace,pace pack,0.39,2979,pidpa,0.31999999999999995,3063
274,materialise,heidelberg materials,0.39,1847,benq materials corp,0.38,483
275,mars,marshall wace,0.38,2550,all ears,0.32999999999999996,176
276,lubrizol advanced materials,heidelberg materials,0.28,1847,benq materials corp,0.27,483
277,kinepolis,onepoint,0.45999999999999996,2928,ninepointfive,0.39,2828
278,biscuiterie jules destrooper,fine biscuits company,0.30000000000000004,1525,bis,0.25,532
279,orange cyberdefense,orange cyberdefense,1.0,2952,orange,0.42000000000000004,2950
280,jdi,zorgbedrijf meetjesland,0.0,4559,zorgbedrijf antwerpen,0.0,4558
281,jaga climate designers  hq,change designers,0.48,755,kan design,0.36,2229
282,ineos manufacturing,bosch manufacturing and services,0.56,598,clothing manufacturer,0.55,814
283,willy naessens industrial buildings,cnh industrial,0.35,823,skill builders,0.31000000000000005,3534
284,inchcape,trscape,0.37,4052,upscape,0.36,4140
285,impact sales  marketing,upmoves  marketing agency,0.43999999999999995,4137,ellenesse marketing,0.4,1305
286,honeywell,honest trade,0.29000000000000004,1914,dehon,0.25,1063
287,henchman part of lexisnexis,enexis,0.55,1334,connexi,0.28,876
288,gxo logistics,id logistics,0.76,2004,yusen logistics,0.6799999999999999,4523
289,jansen,consense arbo,0.43000000000000005,878,met sense,0.38,2625
290,gorilla  energy data applications,energy solutions,0.31999999999999995,1333,centrica energy trading,0.25,740
291,fujifilm,fujitsu,0.42000000000000004,1614,fuji oil,0.37,1613
292,fujifilm electronic materials,samsung electronics,0.36,3398,samsung electronics,0.36,3399
293,flyinggroup,minggo,0.31999999999999995,2654,groupe seb,0.30000000000000004,1775
294,essity,clusity,0.43999999999999995,817,progressio,0.31000000000000005,3155
295,eco3,seco,0.6599999999999999,3463,oeco,0.5900000000000001,2901
